Date,Price,Open,High,Low,Change %
23-Jul-15,136.09,135.43,136.55,135.36,0.41%
22-Jul-15,135.53,135.45,135.66,134.81,0.02%
21-Jul-15,135.5,134.49,135.79,134.44,0.71%
20-Jul-15,134.54,134.37,135.09,134.29,0.13%
17-Jul-15,134.36,134.98,135.27,134.27,-0.50%
16-Jul-15,135.03,135.48,135.88,134.7,-0.36%
15-Jul-15,135.52,135.8,136.41,135.3,-0.25%
14-Jul-15,135.86,135.79,136.4,135.24,0.02%
13-Jul-15,135.83,136.24,137.83,135.36,-0.89%
10-Jul-15,137.05,133.9,137.32,133.76,2.32%
9-Jul-15,133.94,133.64,135.08,133.25,0.16%
8-Jul-15,133.73,134.91,135.05,133.25,-0.90%
7-Jul-15,134.94,135.47,135.74,133.46,-0.44%
6-Jul-15,135.53,133.73,136.07,133.63,-0.71%
3-Jul-15,136.5,136.38,136.87,135.88,0.06%
2-Jul-15,136.42,136.11,137.39,135.99,0.19%
1-Jul-15,136.16,136.43,137.44,135.97,-0.21%
30-Jun-15,136.44,137.66,137.8,135.84,-0.91%
29-Jun-15,137.69,135.39,138.16,133.75,-0.44%
26-Jun-15,138.3,138.49,138.7,137.76,-0.15%
25-Jun-15,138.51,138.74,138.92,137.61,-0.19%
24-Jun-15,138.78,138.43,139.16,138.22,0.23%
23-Jun-15,138.46,139.87,140.05,138.16,-1.04%
22-Jun-15,139.92,139.35,140.67,139.22,0.47%
19-Jun-15,139.27,139.66,140.07,138.88,-0.30%
18-Jun-15,139.69,139.91,140.71,139.45,-0.18%
17-Jun-15,139.94,138.72,140.5,138.62,0.86%
16-Jun-15,138.75,139.24,140.01,138.21,-0.37%
15-Jun-15,139.26,138.48,139.35,138,0.15%
12-Jun-15,139.05,138.89,139.35,137.94,0.08%
11-Jun-15,138.94,138.89,139.55,138.51,-0.01%
10-Jun-15,138.95,140.27,140.72,138.38,-0.96%
9-Jun-15,140.3,140.54,141.02,139.33,-0.18%
8-Jun-15,140.56,139.57,140.77,138.99,0.68%
5-Jun-15,139.61,139.74,140.73,138.97,-0.12%
4-Jun-15,139.78,140.02,141.07,139.5,-0.20%
3-Jun-15,140.06,138.37,140.18,138,1.17%
2-Jun-15,138.44,136.31,138.87,136.05,1.53%
1-Jun-15,136.35,136.34,136.64,135.09,-0.04%
29-May-15,136.41,135.66,136.52,135.38,0.51%
28-May-15,135.72,134.82,135.88,134.7,0.64%
27-May-15,134.86,133.8,135.05,133.73,0.75%
26-May-15,133.85,133.43,134.56,133.05,0.31%
25-May-15,133.44,133.65,133.87,133.21,-0.36%
22-May-15,133.92,134.48,135.38,133.68,-0.43%
21-May-15,134.5,134.59,135.38,134.18,-0.09%
20-May-15,134.62,134.55,134.91,133.86,0.04%
19-May-15,134.56,135.75,135.87,133.91,-0.90%
18-May-15,135.78,136.53,136.97,135.53,-0.61%
15-May-15,136.62,135.9,136.84,135.64,0.48%
14-May-15,135.97,135.31,136.47,135.14,0.47%
13-May-15,135.33,134.39,135.55,134.17,0.67%
12-May-15,134.43,133.93,135.32,133.71,0.37%
11-May-15,133.94,134.06,134.25,133.44,-0.22%
8-May-15,134.24,134.88,135.62,134.05,-0.49%
