Date,Price,Open,High,Low,Change %
9-Dec-11,6.3644,6.3619,6.3665,6.3602,0.03%
8-Dec-11,6.3627,6.3635,6.3643,6.3542,-0.04%
7-Dec-11,6.3651,6.3645,6.366,6.3497,0.01%
6-Dec-11,6.3647,6.3629,6.3653,6.362,0.01%
5-Dec-11,6.364,6.3599,6.3668,6.3591,0.06%
2-Dec-11,6.3603,6.361,6.363,6.3577,-0.13%
1-Dec-11,6.3685,6.3789,6.3819,6.3579,-0.16%
30-Nov-11,6.3788,6.377,6.3788,6.3645,0.02%
29-Nov-11,6.3773,6.3841,6.3845,6.374,-0.12%
28-Nov-11,6.385,6.3733,6.3875,6.371,0.05%
25-Nov-11,6.3816,6.3615,6.3828,6.3599,0.31%
24-Nov-11,6.362,6.3579,6.3724,6.3559,0.06%
23-Nov-11,6.3583,6.3539,6.3609,6.3529,-0.04%
22-Nov-11,6.3611,6.3599,6.3716,6.3589,-0.01%
21-Nov-11,6.3619,6.3515,6.362,6.35,0.08%
18-Nov-11,6.3568,6.35,6.3642,6.3499,0.08%
17-Nov-11,6.3517,6.3439,6.3559,6.3439,0.10%
16-Nov-11,6.3451,6.346,6.3548,6.3441,-0.03%
15-Nov-11,6.3473,6.3537,6.3652,6.3453,-0.13%
14-Nov-11,6.3557,6.3415,6.3567,6.3324,0.22%
11-Nov-11,6.342,6.3455,6.3461,6.3393,-0.07%
10-Nov-11,6.3467,6.3395,6.3609,6.3395,0.10%
9-Nov-11,6.3404,6.3462,6.3465,6.336,-0.10%
8-Nov-11,6.3468,6.348,6.3519,6.3443,-0.05%
7-Nov-11,6.3498,6.3393,6.3507,6.3387,0.14%
4-Nov-11,6.341,6.3465,6.349,6.3396,-0.16%
3-Nov-11,6.3514,6.3535,6.3536,6.3389,-0.07%
2-Nov-11,6.3561,6.3541,6.3574,6.3464,0.02%
1-Nov-11,6.355,6.3535,6.3609,6.3455,0.00%
31-Oct-11,6.3552,6.357,6.3581,6.3492,-0.06%
28-Oct-11,6.3588,6.3412,6.3588,6.337,-0.01%
27-Oct-11,6.3595,6.3529,6.361,6.349,0.09%
26-Oct-11,6.3538,6.3605,6.368,6.3483,-0.11%
25-Oct-11,6.361,6.3744,6.3749,6.3582,-0.22%
24-Oct-11,6.3752,6.3833,6.3842,6.3653,-0.13%
21-Oct-11,6.3838,6.3826,6.3917,6.376,-0.01%
20-Oct-11,6.3843,6.377,6.3874,6.3678,0.10%
19-Oct-11,6.3777,6.3805,6.3843,6.3724,-0.05%
18-Oct-11,6.3809,6.3695,6.3829,6.3684,0.17%
17-Oct-11,6.3701,6.3784,6.3792,6.3648,-0.14%
14-Oct-11,6.379,6.3765,6.383,6.3752,-0.06%
13-Oct-11,6.383,6.3585,6.3906,6.358,0.37%
12-Oct-11,6.3593,6.3715,6.3924,6.3577,-0.25%
11-Oct-11,6.375,6.3478,6.3757,6.3363,0.42%
10-Oct-11,6.3483,6.3745,6.3804,6.3448,-0.42%
7-Oct-11,6.375,6.3745,6.375,6.3745,-0.06%
6-Oct-11,6.379,6.3745,6.379,6.3745,0.06%
5-Oct-11,6.375,6.3745,6.375,6.3745,0.00%
4-Oct-11,6.375,6.3745,6.375,6.3745,0.00%
3-Oct-11,6.375,6.3745,6.375,6.3745,-0.11%
30-Sep-11,6.3822,6.3969,6.4011,6.3745,-0.24%
29-Sep-11,6.3974,6.3934,6.3992,6.393,0.05%
28-Sep-11,6.394,6.3855,6.3945,6.3832,-0.07%
27-Sep-11,6.3984,6.3975,6.3988,6.3881,0.01%
26-Sep-11,6.398,6.387,6.398,6.3832,0.16%
23-Sep-11,6.388,6.391,6.4011,6.3861,-0.01%
22-Sep-11,6.3888,6.3812,6.4008,6.3809,0.10%
21-Sep-11,6.3821,6.3838,6.385,6.3766,-0.03%
20-Sep-11,6.3841,6.3865,6.3909,6.3825,-0.04%
19-Sep-11,6.3866,6.3834,6.3897,6.3795,0.06%
16-Sep-11,6.383,6.3905,6.3915,6.3804,-0.09%
15-Sep-11,6.389,6.394,6.3951,6.3845,-0.05%
14-Sep-11,6.392,6.397,6.3996,6.3905,-0.11%
13-Sep-11,6.399,6.3834,6.3995,6.3834,0.17%
12-Sep-11,6.3884,6.3865,6.3884,6.3865,0.00%
9-Sep-11,6.3882,6.383,6.39,6.383,0.07%
8-Sep-11,6.3838,6.3915,6.3945,6.383,-0.14%
7-Sep-11,6.393,6.389,6.3955,6.389,0.04%
6-Sep-11,6.3905,6.385,6.3919,6.385,0.07%
5-Sep-11,6.3859,6.381,6.3889,6.381,0.05%
2-Sep-11,6.383,6.3805,6.3873,6.3801,0.02%
1-Sep-11,6.3815,6.377,6.3828,6.3765,0.04%
31-Aug-11,6.379,6.3795,6.383,6.3765,-0.03%
30-Aug-11,6.3808,6.38,6.383,6.3778,-0.01%
29-Aug-11,6.3812,6.3855,6.3882,6.3795,-0.09%
26-Aug-11,6.3872,6.3885,6.3933,6.3845,-0.05%
25-Aug-11,6.3904,6.3875,6.3937,6.3875,0.03%
24-Aug-11,6.3885,6.3965,6.397,6.3866,-0.15%
23-Aug-11,6.3984,6.3985,6.4018,6.3945,-0.03%
22-Aug-11,6.4005,6.391,6.4016,6.391,0.14%
19-Aug-11,6.3915,6.387,6.4,6.387,0.05%
18-Aug-11,6.3883,6.386,6.3924,6.386,0.02%
17-Aug-11,6.3872,6.3815,6.3926,6.3815,0.07%
16-Aug-11,6.3828,6.3895,6.393,6.3815,-0.13%
15-Aug-11,6.3908,6.389,6.3934,6.3888,0.02%
12-Aug-11,6.3897,6.3903,6.3989,6.3889,-0.08%
11-Aug-11,6.3945,6.4174,6.4184,6.388,-0.36%
10-Aug-11,6.4177,6.43,6.4312,6.412,-0.20%
9-Aug-11,6.4308,6.4342,6.4435,6.43,-0.07%
8-Aug-11,6.4352,6.439,6.44,6.424,-0.08%
5-Aug-11,6.4406,6.4365,6.4457,6.4365,0.04%
4-Aug-11,6.4383,6.4335,6.4426,6.4335,0.06%
3-Aug-11,6.4343,6.4365,6.4424,6.4335,-0.06%
2-Aug-11,6.4381,6.4327,6.4405,6.4327,0.07%
1-Aug-11,6.4339,6.436,6.4396,6.4327,-0.05%
