Date,Price,Open,High,Low,Change %
19-Sep-12,0.9746,0.9741,0.9764,0.9722,0.04%
18-Sep-12,0.9742,0.9746,0.9765,0.9728,-0.06%
17-Sep-12,0.9748,0.9705,0.976,0.969,0.31%
14-Sep-12,0.9718,0.968,0.9722,0.963,0.34%
13-Sep-12,0.9685,0.9761,0.9773,0.9662,-0.80%
12-Sep-12,0.9763,0.9729,0.9768,0.9712,0.34%
11-Sep-12,0.973,0.9775,0.9777,0.9709,-0.47%
10-Sep-12,0.9776,0.9777,0.9788,0.9751,-0.10%
7-Sep-12,0.9786,0.9823,0.9834,0.9762,-0.43%
6-Sep-12,0.9828,0.9905,0.9914,0.9805,-0.78%
5-Sep-12,0.9905,0.9856,0.9918,0.9852,0.47%
4-Sep-12,0.9859,0.9856,0.9875,0.9839,0.00%
3-Sep-12,0.9859,0.9868,0.9879,0.9849,-0.06%
31-Aug-12,0.9865,0.9921,0.993,0.9848,-0.60%
30-Aug-12,0.9925,0.9892,0.9931,0.9885,0.31%
29-Aug-12,0.9894,0.9881,0.9899,0.9862,0.12%
28-Aug-12,0.9882,0.9904,0.9917,0.9838,-0.25%
27-Aug-12,0.9907,0.9916,0.9925,0.9886,-0.16%
24-Aug-12,0.9923,0.9936,0.9947,0.9901,-0.16%
23-Aug-12,0.9939,0.9912,0.9948,0.9881,0.24%
22-Aug-12,0.9915,0.9889,0.9947,0.9886,0.23%
21-Aug-12,0.9892,0.9881,0.9899,0.9838,0.07%
20-Aug-12,0.9885,0.9888,0.9901,0.9872,-0.07%
17-Aug-12,0.9892,0.9862,0.99,0.986,0.26%
16-Aug-12,0.9866,0.9891,0.9899,0.9856,-0.29%
15-Aug-12,0.9895,0.992,0.9934,0.9883,-0.28%
14-Aug-12,0.9923,0.9925,0.994,0.9904,-0.02%
13-Aug-12,0.9925,0.991,0.994,0.9902,0.15%
10-Aug-12,0.991,0.9906,0.9969,0.9902,-0.01%
9-Aug-12,0.9911,0.9938,0.995,0.9906,-0.32%
8-Aug-12,0.9943,0.9965,0.9988,0.9932,-0.27%
7-Aug-12,0.997,1.0002,1.0012,0.9958,-0.33%
6-Aug-12,1.0003,1.0017,1.0022,0.9979,-0.10%
3-Aug-12,1.0013,1.0073,1.0078,0.9976,-0.60%
2-Aug-12,1.0073,1.0055,1.0085,0.9999,0.17%
1-Aug-12,1.0056,1.003,1.0057,1.0001,0.25%
31-Jul-12,1.0031,1.0015,1.0042,1,0.14%
30-Jul-12,1.0017,1.0038,1.0053,1.001,-0.16%
27-Jul-12,1.0033,1.0099,1.0105,1.0028,-0.66%
26-Jul-12,1.01,1.0154,1.0166,1.006,-0.54%
25-Jul-12,1.0155,1.0217,1.0231,1.0136,-0.67%
24-Jul-12,1.0223,1.0187,1.0227,1.0154,0.34%
23-Jul-12,1.0188,1.0134,1.0204,1.0128,0.62%
20-Jul-12,1.0125,1.0072,1.013,1.0066,0.52%
