Date,Price,Open,High,Low,Change %
9-Jan-12,1.2772,1.2678,1.2785,1.2677,0.42%
6-Jan-12,1.2719,1.2792,1.2812,1.2697,-0.57%
5-Jan-12,1.2792,1.2929,1.2943,1.277,-1.06%
4-Jan-12,1.2929,1.3053,1.3072,1.2897,-0.95%
3-Jan-12,1.3053,1.2935,1.3076,1.2935,0.91%
2-Jan-12,1.2935,1.2943,1.2968,1.2917,-0.16%
30-Dec-11,1.2956,1.2951,1.2998,1.2904,0.04%
29-Dec-11,1.2951,1.2924,1.2964,1.2858,0.21%
28-Dec-11,1.2924,1.3068,1.3079,1.2912,-1.10%
27-Dec-11,1.3068,1.3047,1.3082,1.3042,0.16%
26-Dec-11,1.3047,1.3049,1.3081,1.3042,0.02%
23-Dec-11,1.3045,1.3054,1.3095,1.3026,-0.07%
22-Dec-11,1.3054,1.3035,1.3118,1.3017,0.15%
21-Dec-11,1.3035,1.3086,1.3196,1.3025,-0.39%
20-Dec-11,1.3086,1.3006,1.3131,1.2995,0.62%
19-Dec-11,1.3006,1.3035,1.3043,1.2983,-0.28%
16-Dec-11,1.3042,1.3028,1.3083,1.2995,0.11%
15-Dec-11,1.3028,1.2985,1.3049,1.2957,0.33%
14-Dec-11,1.2985,1.3017,1.3063,1.2946,-0.25%
13-Dec-11,1.3017,1.3163,1.3236,1.3009,-1.11%
12-Dec-11,1.3163,1.337,1.3376,1.316,-1.65%
9-Dec-11,1.3384,1.3344,1.3433,1.3281,0.30%
8-Dec-11,1.3344,1.3398,1.3457,1.3288,-0.40%
7-Dec-11,1.3398,1.3409,1.3453,1.3351,-0.08%
6-Dec-11,1.3409,1.3386,1.3427,1.3333,0.17%
5-Dec-11,1.3386,1.3415,1.3485,1.3375,-0.03%
2-Dec-11,1.339,1.3465,1.3545,1.3362,-0.56%
1-Dec-11,1.3465,1.344,1.352,1.3418,0.19%
30-Nov-11,1.344,1.3322,1.353,1.3259,0.89%
29-Nov-11,1.3322,1.3314,1.3441,1.3285,0.06%
28-Nov-11,1.3314,1.331,1.3398,1.3273,0.57%
25-Nov-11,1.3238,1.333,1.3332,1.3212,-0.69%
24-Nov-11,1.333,1.3345,1.3411,1.3316,-0.11%
23-Nov-11,1.3345,1.3518,1.353,1.332,-1.28%
22-Nov-11,1.3518,1.3483,1.3568,1.3469,0.26%
21-Nov-11,1.3483,1.3535,1.354,1.343,-0.29%
18-Nov-11,1.3522,1.3453,1.3614,1.3447,0.51%
17-Nov-11,1.3453,1.3439,1.3539,1.3423,0.10%
16-Nov-11,1.3439,1.3503,1.3556,1.3421,-0.47%
15-Nov-11,1.3503,1.3624,1.364,1.3496,-0.89%
14-Nov-11,1.3624,1.3784,1.3788,1.3591,-1.04%
11-Nov-11,1.3767,1.3609,1.3794,1.3578,1.16%
10-Nov-11,1.3609,1.3525,1.3652,1.3484,0.62%
9-Nov-11,1.3525,1.3824,1.3858,1.3522,-2.16%
8-Nov-11,1.3824,1.3759,1.3846,1.3724,0.47%
7-Nov-11,1.3759,1.3786,1.3812,1.3681,-0.22%
4-Nov-11,1.379,1.3823,1.3865,1.3711,-0.24%
3-Nov-11,1.3823,1.3726,1.3854,1.3656,0.71%
2-Nov-11,1.3726,1.3661,1.3826,1.3636,0.48%
1-Nov-11,1.3661,1.3844,1.387,1.3608,-1.32%
31-Oct-11,1.3844,1.4143,1.4169,1.3829,-2.13%
28-Oct-11,1.4145,1.4173,1.42,1.4133,-0.20%
27-Oct-11,1.4173,1.3875,1.4246,1.3864,2.15%
26-Oct-11,1.3875,1.3903,1.3974,1.38,-0.20%
25-Oct-11,1.3903,1.3919,1.3959,1.3849,-0.11%
24-Oct-11,1.3919,1.385,1.3956,1.3822,0.19%
21-Oct-11,1.3892,1.3794,1.39,1.3704,0.72%
20-Oct-11,1.3793,1.3766,1.3841,1.3657,0.19%
19-Oct-11,1.3767,1.3733,1.3868,1.3725,0.25%
18-Oct-11,1.3733,1.3744,1.3816,1.3653,-0.08%
17-Oct-11,1.3744,1.3872,1.3914,1.3724,-0.97%
14-Oct-11,1.3878,1.3751,1.3894,1.3723,0.92%
13-Oct-11,1.3751,1.3778,1.3825,1.3685,-0.19%
12-Oct-11,1.3777,1.3633,1.3833,1.3582,1.06%
11-Oct-11,1.3633,1.3626,1.3683,1.3565,0.05%
10-Oct-11,1.3626,1.3399,1.3698,1.3393,1.87%
7-Oct-11,1.3376,1.3427,1.3524,1.3361,-0.38%
6-Oct-11,1.3427,1.3346,1.345,1.3242,0.61%
5-Oct-11,1.3345,1.3317,1.3383,1.326,0.21%
4-Oct-11,1.3317,1.319,1.3368,1.3146,0.96%
3-Oct-11,1.319,1.3356,1.3381,1.3163,-1.46%
30-Sep-11,1.3385,1.3595,1.36,1.3384,-1.54%
29-Sep-11,1.3595,1.3521,1.3677,1.352,0.54%
28-Sep-11,1.3522,1.3584,1.3689,1.3519,-0.46%
27-Sep-11,1.3585,1.3496,1.3667,1.3479,0.66%
26-Sep-11,1.3496,1.3516,1.3546,1.3362,-0.01%
23-Sep-11,1.3497,1.3504,1.3566,1.3419,-0.05%
22-Sep-11,1.3504,1.3576,1.3587,1.3386,-0.53%
21-Sep-11,1.3576,1.3707,1.3795,1.3557,-0.95%
20-Sep-11,1.3706,1.3621,1.3743,1.3593,0.62%
19-Sep-11,1.3621,1.3681,1.372,1.3587,-1.25%
16-Sep-11,1.3794,1.388,1.3881,1.3754,-0.62%
15-Sep-11,1.388,1.3747,1.3936,1.3703,0.97%
14-Sep-11,1.3747,1.368,1.3783,1.3591,0.49%
13-Sep-11,1.368,1.3639,1.3738,1.3558,0.30%
12-Sep-11,1.3639,1.3582,1.3692,1.3499,-0.10%
9-Sep-11,1.3653,1.3915,1.3936,1.3627,-1.88%
8-Sep-11,1.3915,1.407,1.4089,1.3872,-1.10%
7-Sep-11,1.407,1.4023,1.4148,1.4012,0.34%
6-Sep-11,1.4023,1.4071,1.4254,1.3973,-0.34%
5-Sep-11,1.4071,1.415,1.4173,1.4058,-0.94%
2-Sep-11,1.4204,1.4278,1.4287,1.4184,-0.52%
1-Sep-11,1.4278,1.4359,1.4377,1.4226,-0.56%
31-Aug-11,1.4359,1.4424,1.4469,1.4355,-0.45%
30-Aug-11,1.4424,1.4514,1.4533,1.4384,-0.62%
29-Aug-11,1.4514,1.448,1.4548,1.4466,0.11%
26-Aug-11,1.4498,1.4411,1.4501,1.4329,0.60%
25-Aug-11,1.4411,1.4407,1.4474,1.4328,0.03%
24-Aug-11,1.4407,1.4438,1.4481,1.438,-0.21%
23-Aug-11,1.4438,1.4356,1.4499,1.4356,0.57%
22-Aug-11,1.4356,1.4366,1.4434,1.4347,-0.27%
19-Aug-11,1.4395,1.4295,1.4451,1.4259,0.70%
18-Aug-11,1.4295,1.4427,1.4451,1.4271,-0.91%
17-Aug-11,1.4427,1.438,1.4517,1.4325,0.33%
16-Aug-11,1.438,1.4437,1.4471,1.4354,-0.39%
15-Aug-11,1.4437,1.4283,1.4475,1.4264,1.33%
12-Aug-11,1.4248,1.4214,1.429,1.4149,0.23%
11-Aug-11,1.4215,1.4134,1.4291,1.4104,0.57%
10-Aug-11,1.4134,1.4354,1.4401,1.4122,-1.53%
9-Aug-11,1.4354,1.4175,1.4397,1.4152,1.26%
8-Aug-11,1.4175,1.4308,1.4401,1.413,-0.74%
5-Aug-11,1.428,1.4077,1.4297,1.4069,1.44%
4-Aug-11,1.4077,1.4349,1.4367,1.4055,-1.90%
3-Aug-11,1.4349,1.4184,1.4366,1.4142,1.16%
2-Aug-11,1.4184,1.4271,1.4282,1.4151,-0.62%
1-Aug-11,1.4272,1.4352,1.4453,1.4184,-0.85%
29-Jul-11,1.4394,1.4326,1.4413,1.4229,0.47%
28-Jul-11,1.4326,1.4363,1.44,1.4254,-0.24%
27-Jul-11,1.4361,1.4508,1.4535,1.4339,-1.01%
26-Jul-11,1.4508,1.4372,1.4524,1.4357,0.94%
25-Jul-11,1.4373,1.4367,1.4406,1.4325,0.10%
22-Jul-11,1.4358,1.4408,1.4437,1.4324,-0.35%
