Date,Price,Open,High,Low,Change %
13-Mar-12,1.5704,1.5651,1.5748,1.5621,0.34%
12-Mar-12,1.5651,1.5668,1.5696,1.5603,-0.15%
9-Mar-12,1.5674,1.5821,1.583,1.5662,-0.94%
8-Mar-12,1.5822,1.5732,1.5834,1.5725,0.57%
7-Mar-12,1.5732,1.572,1.5759,1.5698,0.08%
6-Mar-12,1.572,1.5874,1.5882,1.5696,-0.97%
5-Mar-12,1.5874,1.5831,1.5877,1.5787,0.25%
2-Mar-12,1.5834,1.596,1.5966,1.5824,-0.79%
1-Mar-12,1.596,1.5921,1.5976,1.5897,0.24%
29-Feb-12,1.5921,1.592,1.5992,1.5905,0.00%
28-Feb-12,1.5921,1.5831,1.5923,1.58,0.57%
27-Feb-12,1.5831,1.5884,1.5887,1.5811,-0.26%
24-Feb-12,1.5872,1.5744,1.59,1.5722,0.81%
23-Feb-12,1.5744,1.5671,1.5751,1.565,0.47%
22-Feb-12,1.567,1.5791,1.5814,1.5649,-0.77%
21-Feb-12,1.5791,1.583,1.5865,1.5773,-0.25%
20-Feb-12,1.583,1.5865,1.588,1.582,0.01%
17-Feb-12,1.5828,1.5805,1.5862,1.5791,0.15%
16-Feb-12,1.5805,1.5685,1.5817,1.5656,0.77%
15-Feb-12,1.5685,1.5691,1.5736,1.5672,-0.03%
14-Feb-12,1.569,1.5722,1.5771,1.5646,-0.20%
13-Feb-12,1.5722,1.5777,1.5828,1.5717,-0.22%
10-Feb-12,1.5756,1.5812,1.585,1.573,-0.35%
9-Feb-12,1.5812,1.581,1.5884,1.5793,0.01%
8-Feb-12,1.581,1.5892,1.5929,1.5796,-0.52%
7-Feb-12,1.5893,1.5812,1.5905,1.5789,0.51%
6-Feb-12,1.5812,1.5801,1.5841,1.5731,-0.01%
3-Feb-12,1.5814,1.5803,1.586,1.5751,0.07%
2-Feb-12,1.5803,1.5846,1.5859,1.5796,-0.28%
1-Feb-12,1.5847,1.576,1.5883,1.5707,0.55%
31-Jan-12,1.576,1.5705,1.5796,1.5701,0.34%
30-Jan-12,1.5706,1.5723,1.5725,1.5654,-0.14%
27-Jan-12,1.5728,1.5676,1.5741,1.5641,0.33%
26-Jan-12,1.5676,1.5658,1.5734,1.5651,0.11%
25-Jan-12,1.5658,1.5624,1.5678,1.5534,0.22%
24-Jan-12,1.5624,1.5578,1.5629,1.5534,0.31%
23-Jan-12,1.5576,1.5543,1.5602,1.5517,0.00%
20-Jan-12,1.5576,1.5485,1.5578,1.5451,0.59%
19-Jan-12,1.5485,1.5429,1.5493,1.5416,0.36%
18-Jan-12,1.5429,1.5339,1.5442,1.5328,0.59%
17-Jan-12,1.5339,1.5321,1.5405,1.5317,0.12%
16-Jan-12,1.5321,1.5301,1.5352,1.5283,0.02%
13-Jan-12,1.5318,1.5341,1.5409,1.5236,-0.15%
12-Jan-12,1.5341,1.5336,1.5368,1.528,0.03%
11-Jan-12,1.5336,1.5472,1.5488,1.5309,-0.88%
10-Jan-12,1.5472,1.5458,1.55,1.5447,0.09%
9-Jan-12,1.5458,1.5417,1.547,1.5396,0.21%
6-Jan-12,1.5426,1.5499,1.5525,1.5376,-0.47%
5-Jan-12,1.5499,1.561,1.563,1.5468,-0.71%
4-Jan-12,1.561,1.5644,1.5669,1.5581,-0.22%
3-Jan-12,1.5644,1.5518,1.567,1.5507,0.81%
2-Jan-12,1.5518,1.5523,1.5543,1.5469,-0.21%
30-Dec-11,1.555,1.5416,1.5572,1.5402,0.87%
29-Dec-11,1.5416,1.5438,1.5476,1.5362,-0.14%
28-Dec-11,1.5438,1.5663,1.5692,1.5438,-1.44%
27-Dec-11,1.5663,1.5627,1.568,1.5598,0.23%
26-Dec-11,1.5627,1.5588,1.5631,1.5588,0.26%
23-Dec-11,1.5587,1.5678,1.5708,1.5583,-0.58%
22-Dec-11,1.5678,1.5668,1.5729,1.565,0.06%
21-Dec-11,1.5668,1.5668,1.5774,1.5649,0.00%
20-Dec-11,1.5668,1.5508,1.57,1.5502,1.03%
19-Dec-11,1.5508,1.5521,1.5545,1.5466,-0.24%
16-Dec-11,1.5545,1.5523,1.5557,1.5483,0.14%
15-Dec-11,1.5523,1.5472,1.553,1.5434,0.33%
14-Dec-11,1.5472,1.5478,1.5531,1.541,-0.04%
13-Dec-11,1.5478,1.5574,1.5626,1.5452,-0.62%
12-Dec-11,1.5574,1.5654,1.5658,1.5538,-0.62%
9-Dec-11,1.5671,1.5634,1.5735,1.5586,0.24%
8-Dec-11,1.5634,1.5698,1.577,1.5611,-0.41%
7-Dec-11,1.5698,1.5602,1.5722,1.5596,0.62%
6-Dec-11,1.5602,1.5643,1.5664,1.5561,-0.26%
5-Dec-11,1.5643,1.5606,1.5716,1.5588,0.29%
2-Dec-11,1.5597,1.5683,1.5726,1.5577,-0.55%
1-Dec-11,1.5683,1.5704,1.5756,1.5638,-0.13%
30-Nov-11,1.5704,1.5596,1.578,1.5527,0.69%
29-Nov-11,1.5596,1.5498,1.5656,1.547,0.63%
28-Nov-11,1.5498,1.5487,1.5594,1.5459,0.38%
25-Nov-11,1.544,1.5477,1.5518,1.5424,-0.24%
24-Nov-11,1.5477,1.5521,1.5567,1.547,-0.28%
23-Nov-11,1.5521,1.5647,1.5656,1.5496,-0.81%
22-Nov-11,1.5647,1.5638,1.5692,1.5583,0.06%
21-Nov-11,1.5638,1.5774,1.5776,1.5613,-1.06%
18-Nov-11,1.5806,1.5749,1.5888,1.5738,0.36%
17-Nov-11,1.5749,1.5707,1.5812,1.5691,0.27%
16-Nov-11,1.5707,1.5803,1.5816,1.5696,-0.61%
15-Nov-11,1.5803,1.5898,1.5932,1.5799,-0.60%
14-Nov-11,1.5898,1.6076,1.6092,1.5881,-1.04%
11-Nov-11,1.6065,1.5938,1.6093,1.5896,0.80%
10-Nov-11,1.5938,1.5911,1.5985,1.5869,0.17%
9-Nov-11,1.5911,1.6098,1.612,1.5903,-1.16%
8-Nov-11,1.6098,1.6063,1.613,1.6036,0.22%
7-Nov-11,1.6063,1.6034,1.6079,1.598,0.18%
4-Nov-11,1.6034,1.6035,1.6063,1.5946,-0.01%
